rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,skipped_no_hold_dates,strategy
2022-12-20,2022-12-20,2022-12-21,"['NFLX', 'NVDA', 'LRCX', 'ISRG', 'FAST', 'CRM', 'MSFT', 'MU', 'AMAT', 'ORCL']",10,7,7,1.4,0.0014,False,ML_Base
2023-01-20,2023-01-20,2023-01-23,"['GILD', 'AVGO', 'SBUX', 'LRCX', 'AMGN', 'MDLZ', 'ORCL', 'FAST', 'EBAY', 'PEP']",10,7,7,1.4,0.0014,False,ML_Base
2023-02-03,2023-02-03,2023-02-06,"['AVGO', 'FAST', 'MNST', 'SBUX', 'PEP', 'NFLX', 'MDLZ', 'VRTX', 'GILD', 'AMGN']",10,3,3,0.6,0.0006,False,ML_Base
2023-02-17,2023-02-17,2023-02-21,"['GILD', 'SBUX', 'MNST', 'ORCL', 'NFLX', 'FAST', 'MDLZ', 'PEP', 'AVGO', 'AMGN']",10,1,1,0.2,0.0002,False,ML_Base
2023-03-06,2023-03-06,2023-03-07,"['GILD', 'ORCL', 'SBUX', 'NFLX', 'MDLZ', 'AVGO', 'AMGN', 'MNST', 'CDNS', 'PEP']",10,1,1,0.2,0.0002,False,ML_Base
2023-03-20,2023-03-20,2023-03-21,"['SBUX', 'MNST', 'EBAY', 'MDLZ', 'ORCL', 'LRCX', 'GILD', 'FAST', 'NFLX', 'PANW']",10,4,4,0.8,0.0008,False,ML_Base
2023-04-03,2023-04-03,2023-04-04,"['GILD', 'NFLX', 'MDLZ', 'EBAY', 'PEP', 'FAST', 'MNST', 'NVDA', 'SBUX', 'ORCL']",10,2,2,0.4,0.0004,False,ML_Base
2023-04-18,2023-04-18,2023-04-19,"['NVDA', 'FAST', 'MDLZ', 'PAYX', 'META', 'GILD', 'AMD', 'ODFL', 'MNST', 'MU']",10,5,5,1.0,0.001,False,ML_Base
2023-05-02,2023-05-02,2023-05-03,"['PANW', 'FAST', 'NVDA', 'MDLZ', 'PEP', 'GILD', 'ORCL', 'ODFL', 'EBAY', 'CRM']",10,5,5,1.0,0.001,False,ML_Base
2023-05-16,2023-05-16,2023-05-17,"['SBUX', 'MDLZ', 'NVDA', 'ISRG', 'ORCL', 'AAPL', 'ODFL', 'AMGN', 'GILD', 'PEP']",10,4,4,0.8,0.0008,False,ML_Base
